الرقم,الفئة,العربية,الأمهرية,النطق
551,الألوان,اللون الأحمر الناري,የእሳት ቀይ ቀለም,يإيسات قاي قليم
552,الألوان,اللون الأسود الداكن,ጥቁር የጠቆረ ቀለም,طيقر يطي قوري قليم
553,الألوان,لون قبعة الشرطة أزرق,የፖሊስ ባርኔጣ ቀለም ሰማያዊ ነው,يپو ليس بار ني طا قليم سِماياوي (sämayawi) نيوه
554,الألوان,لا يوجد لون محدد,የተወሰነ ቀለም የለም,يتي ووسي ني قليم يي ليم
555,الألوان,ما هو أفضل لون لغرفة النوم؟,ለመኝታ ክፍል ምርጡ ቀለም ምንድነው?,ليمي نيا تا كيفل ميرسطو قليم ميندين نيوه؟
556,الألوان,هذا اللون يفتح الشهية,ይህ ቀለም የምግብ ፍላጎትን ይከፍታል,ييه قليم يمي غيب فيلا غوتن يكي فتال
557,الألوان,الألوان المحظورة,የተከለከሉ ቀለሞች,يتي كيلي كلو قيلموچ
558,الألوان,اللون العنابي,የጥቁር ቀይ ቀለም,يطيقر قاي قليم
559,الألوان,اللون الخردلي,የሰናፍጭ ቀለም,يسي نافيچ قليم
560,الألوان,أحب أن أرتدي ألواناً زاهية,ደማቅ ቀለሞችን መልበስ እወዳለሁ,ديماق قيلموچن ميلبيس إويدا ليهو
561,الألوان,هذه البقعة لا تزول باللون,ይህ ነጠብጣብ በቀለም አይጠፋም,ييه نيطي بጣ ب بيقي ليم أيطي فام
562,الألوان,ألوان طبيعية,ተፈጥሯዊ ቀለሞች,تيفي طي راوي قيلموچ
563,الألوان,ألوان صناعية,ሰው ሠራሽ ቀለሞች,سيو سي راش قيلموچ
564,الألوان,اللون الأخضر يذكرني بالطبيعة,አረንጓዴ ተፈጥሮን ያስታውሰኛል,أرينغواديه (arängwade) تيفي طيرون يا ستا وسي ن يال
565,الألوان,اللون البني مناسب للخشب,ቡናማ ለእንጨት ተስማሚ ነው,بوناما لإنتشيت تيسما مي نيوه
566,الألوان,لا أرى اللون الأحمر,ቀይ ቀለም ማየት አልችልም,قاي قليم مايت آلتشي ليم
567,الألوان,هو أعمى الألوان,እሱ ቀለም የማየት ችግር አለበት,إيسو قليم يما يت تشي غر ألي بيت
568,الألوان,اللون البرتقالي هو مزيج من الأحمر والأصفر,ብርቱካናማ የቀይ እና ቢጫ ድብልቅ ነው,بيرتوكاناما يقي إنا بيتشا (biča) ديبليق نيوه
569,الألوان,نحن نستخدم الألوان المتباينة,እኛ ተቃራኒ ቀለሞችን እንጠቀማለን,إينيا تي قارا ني قيلموچن إنيطي قي مالين
570,الألوان,ماذا عن اللون التركواز؟,ስለ ቱርኩይዝ ቀለምስ?,سيلي توركويز قليم س؟
571,الألوان,اللون الفيروزي هو المفضل لدي,ቱርኩይዝ የእኔ ተወዳጅ ነው,توركويز يإيني توي داج نيوه
572,الألوان,الألوان تثير المشاعر,ቀለሞች ስሜትን ያነሳሳሉ,قيلموچ سيميتن ياني ساسي لو
573,الألوان,هذا اللون لا يناسبني,ይህ ቀለም ለእኔ አይመጥነኝም,ييه قليم ليئيني آي ميتي ني نيم
574,الألوان,هل هذه صبغة لون؟,ይህ ቀለም ነው?,ييه قليم نيوه؟
575,الألوان,أعطني قلم تلوين أصفر,ቢጫ እርሳስ ስጠኝ,بيتشا (biča) إيرساس سيطي ن
576,الألوان,اللون الأبيض يوسع المكان,ነጭ ቀለም ቦታውን ያሰፋዋል,نيچ قليم بوتا ون ياسفي وال
577,الألوان,اللون الأسود يضيّق المكان,ጥቁር ቀለም ቦታውን ያጠባል,طيقر قليم بوتا ون ياطي بال
578,الألوان,ألوان الباستيل,የፓስቴል ቀለሞች,يپاستيل قيلموچ
579,الألوان,أفضل الألوان الهادئة,ጸጥ ያሉ ቀለሞችን እመርጣለሁ,تسيط يالو قيلموچن إميرطاليهو
580,الألوان,الألوان الفاقعة,የሚጮሁ ቀለሞች,يمي تشوهو قيلموچ
581,الألوان,اللون الغامق,የጠቆረ ቀለም,يطي قوري قليم
582,الألوان,اللون الفاتح,የፈዘዘ ቀለም,يفي زي زي قليم
583,الألوان,ما هي ألوان علامتك التجارية؟,የምርት ስምህ ቀለሞች ምንድናቸው?,ي ميرت سيميه قيلموچ ميندي ناچو؟
584,الألوان,اللون الأحمر هو لون الحب,ቀይ የፍቅር ቀለም ነው,قاي يفيقِر قليم نيوه
585,الألوان,ألوان علم إثيوبيا,የኢትዮጵያ ባንዲራ ቀለሞች,يإيتيوپيا بانديرا قيلموچ
586,الألوان,اللون الأخضر يعني الخصوبة,አረንጓዴ የመራባት ማለት ነው,أرينغواديه (arängwade) يمي رابات ماليت نيوه
587,الألوان,اللون الأصفر يعني الأمل,ቢጫ ተስፋ ማለት ነው,بيتشا (biča) تيسفا ماليت نيوه
588,الألوان,اللون الأحمر يعني التضحية,ቀይ መስዋዕትነት ማለት ነው,قاي ميسوا إيتنيت ماليت نيوه
589,الألوان,لون الحبر أزرق,የቀለሙ ቀለም ሰማያዊ ነው,يقي لي مو قليم سِماياوي (sämayawi) نيوه
590,الألوان,لدينا مجموعة واسعة من الألوان,ሰፊ የቀለም ምርጫ አለን,سي في يقي ليم ميرچا ألين
591,الألوان,اللون البني مثل التراب,ቡናማ እንደ አፈር ነው,بوناما إندي أ فير نيوه
592,الألوان,اللون الأسود ملك الألوان,ጥቁር የሁሉም ቀለሞች ንጉሥ ነው,طيقر ي هولوم قيلموچ نيغوس نيوه
593,الألوان,هذا اللون يجعلك تبدو شاحباً,ይህ ቀለም ገርጣ እንድትመስል ያደርግሃል,ييه قليم غيرطا إنديتمي سيل يادي ريغ هال
594,الألوان,ألوان الجواهر,የጌጣጌጥ ቀለሞች,يغي طاغي ط قيلموچ
595,الألوان,اللون العاجي,የዝሆን ጥርስ ቀለም,يزي هون طيرس قليم
596,الألوان,اللون السماوي,የሰማይ ቀለም,يسي ماي قليم
597,الألوان,لون المطر رمادي,የዝናብ ቀለም ግራጫ ነው,يزي ناب قليم غيراچا نيوه
598,الألوان,اللون الماروني,ማሮን ቀለም,مارون قليم
599,الألوان,ألوان البناء,የግንባታ ቀለሞች,ي غين با تا قيلموچ
600,الألوان,اللون النيون,የኒዮን ቀለም,يني يون قليم
601,الألوان,هذا اللون قديم الطراز,ይህ ቀለም ያረጀ ፋሽን ነው,ييه قليم ياريج فاشن نيوه
602,الألوان,لون الإشارة حمراء,የምልክቱ ቀለም ቀይ ነው,يمي لكتو قليم قاي نيوه
603,الألوان,اللون الأزرق العميق,ጥልቅ ሰማያዊ,طيلق سِماياوي (sämayawi)
604,الألوان,اللون الوردي الفاتح,ፈዘዝ ያለ ሮዝ,فيزيز ياليه روز
605,الألوان,أنا أخلط الألوان,ቀለሞችን እቀላቅላለሁ,قيلموچن إقيلا قلا ليهو
606,الألوان,اللون القاتم,ደብዛዛ ቀለም,ديبزازا قليم
607,الألوان,أفضل ألوان الباستيل,የፓስቴል ቀለሞችን እመርጣለሁ,يپاستيل قيلموچن إميرطاليهو
608,الألوان,هل يمكنني رؤية المزيد من الألوان؟,ተጨማሪ ቀለሞችን ማየት እችላለሁ?,تيدي ماري قيلموچن مايت إتشي لا ليهو؟
609,الألوان,اللون الخوخي,የፒች ቀለም,يپيتش قليم
610,الألوان,لون جلدك جميل,የቆዳህ ቀለም ያምራል,ي قوداه قليم ياميرال
611,الألوان,اللون الأصفر يمثل الغيرة,ቢጫ ቅናትን ይወክላል,بيتشا (biča) قيناتن يويكي لال
612,الألوان,اللون الأزرق للفتيان,ሰማያዊ ለወንዶች,سِماياوي (sämayawi) لي ووني دِچ
613,الألوان,اللون الوردي للفتيات,ሮዝ ለሴቶች,روز لسي توچ
614,الألوان,اللون المفضل لزوجتي,የባለቤቴ ተወዳጅ ቀለም,يبالي بي تيه توي داج قليم
615,الألوان,اللون الأسود أنيق,ጥቁር የሚያምር ነው,طيقر يمي يا مير نيوه
616,الألوان,ألوان الموضة,የፋሽን ቀለሞች,يفا شن قيلموچ
617,الألوان,اللون الأرجواني الداكن,ጠቆር ያለ ወይንጠጅ,طيقور ياليه واين تيج
618,الألوان,اللون الفضي الحديث,ዘመናዊው የብር ቀለም,زيميناوي و يي بير قليم
619,الألوان,أنا أحب الألوان الترابية,የምድር ቀለሞችን እወዳለሁ,يمي دير قيلموچن إويدا ليهو
620,الألوان,هذا اللون يجعلك سعيداً,ይህ ቀለም ደስተኛ ያደርግሃል,ييه قليم ديس تينيا يادي ريغ هال
621,الألوان,اللون الأزرق الملكي,ንጉሣዊ ሰማያዊ,نيغوساوي سِماياوي (sämayawi)
622,الألوان,أنا لست متأكداً من اللون,ስለ ቀለሙ እርግጠኛ አይደለሁም,سيلي قيليمو إيرغي طي نيا آيدي ليهوم
623,الألوان,اللون البيج الفاتح,ፈዘዝ ያለ ቢዥ,فيزيز ياليه بيج
624,الألوان,ما هي الألوان التي يجب أن أستخدمها؟,የትኞቹን ቀለሞች መጠቀም አለብኝ?,يتي نيوچن قيلموچن ميتي قي مالي بين؟
625,الألوان,ألوان الطيف,የብርሃን ቀለሞች,يبيرهان قيلموچ
626,الألوان,اللون الأحمر الناري,ቀይ ቀይ ቀለም,قاي قاي قليم
627,الألوان,اللون الأزرق الفيروزي,ሰማያዊ ቱርኩይዝ,سِماياوي (sämayawi) توركويز
628,الألوان,هل اللون الأزرق يهدئ؟,ሰማያዊ ያረጋጋል?,سِماياوي (sämayawi) ياريغاغال؟
629,الألوان,اللون الأفضل للتصميم,ለንድፍ ምርጡ ቀለም,لينديف ميرسطو قليم
630,الألوان,ألوان علمنا الوطني,የብሔራዊ ባንዲራችን ቀለሞች,يبي هيراوي بانديراچن قيلموچ
631,الألوان,أنا أبحث عن اللون الأسود,ጥቁር ቀለም እየፈለግኩ ነው,طيقر قليم إيي فيليغكو نيوه
632,الطعام,أنا جائع,ተርቤያለሁ,تِرِبِياليهو
633,الطعام,أنا عطشان,ጠምቶኛል,طِمْتُونْيال
634,الطعام,هل أنت جائع؟,ተርበሃል?,تِرِ بِهال؟
635,الطعام,وقت الطعام,የምግብ ሰዓት,يِمِغب سِعات
636,الطعام,ماذا سنأكل؟,ምን እንብላ?,مِن إنِبْلا؟
637,الطعام,أريد أن آكل الآن,አሁን መብላት እፈልጋለሁ,أهون مِبْلات إفِليغاليهو
638,الطعام,هل يمكنني مساعدتك؟,ልረዳህ እችላለሁ?,لِرِداه إتشِلاليهو؟
639,الطعام,هل الطعام جاهز؟,ምግቡ ዝግጁ ነው?,مِغبو زِغِجو نو؟
640,الطعام,الطعام لذيذ,ምግቡ ጣፋጭ ነው,مِغبو طافاتش نو
641,الطعام,أحتاج إلى ملعقة,ማንኪያ ያስፈልገኛል,مانكيا ياسيِفْلِغينْيال
642,الطعام,أحضر لي طبقاً,ሳህን አምጣልኝ,ساحِن أمْطالِني
643,الطعام,من فضلك، مرر لي الملح,እባክህ ጨው ስጠኝ,إباكِه تشِو سِطِني
644,الطعام,شكراً على الوجبة,ስለ ምግቡ አመሰግናለሁ,سِلَ مِغبو أمِسِغِناليهو
645,الطعام,أكلت بما فيه الكفاية,በቂ በልቻለሁ,بِقي بِلتشاليهو
646,الطعام,ما هو طعامك المفضل؟,ተወዳጅ ምግብህ ምንድነው?,تِوِداج مِغبه مِنِدِنو؟
647,الطعام,الخبز,ዳቦ,دابو
648,الطعام,الماء,ውሃ,وها
649,الطعام,القهوة,ቡና,بونا
650,الطعام,الشاي,ሻይ,شاي
651,الطعام,الحليب,ወተት,وَتِت
652,الطعام,السكر,ስኳር,سِكْوار
653,الطعام,الملح,ጨው,تشِو
654,الطعام,الفلفل,በርበሬ,بِربِري (بهارات)
655,الطعام,اللحم,ስጋ,سِغا
656,الطعام,الدجاج,ዶሮ,دورو
657,الطعام,السمك,አሳ,آسا
658,الطعام,الخضروات,አትክልት,أتْكِلت
659,الطعام,الفواكه,ፍራፍሬ,فِرافِري
660,الطعام,الأرز,ሩዝ,روز
661,الطعام,البيض,እንቁላል,إنْقْوِلال
662,الطعام,الجبن,አይብ,أيب
663,الطعام,الزبدة,ቅቤ,قِبيه
664,الطعام,الزيت,ዘይት,زِيت
665,الطعام,العسل,ማር,مار
666,الطعام,الثوم,ነጭ ሽንኩርት,نِتش شِنكورت
667,الطعام,البصل,ቀይ ሽንኩርት,قِي شِنكورت
668,الطعام,الفول,ባቄላ,باقيلا
669,الطعام,العدس,ምስር,مِسِر
670,الطعام,الزيتون,ወይራ,وَيْرا
671,الطعام,الليمون,ሎሚ,لومي
672,الطعام,الطبق,ሳህን,ساحِن
673,الطعام,السكين,ቢላዋ,بيلاوا
674,الطعام,الشوكة,ሹካ,شوكا
675,الطعام,الملعقة,ማንኪያ,مانكيا
676,الطعام,القدْر,ድስት,دِست
677,الطعام,القلي,መጥበስ,مِطبَس
678,الطعام,الطبخ,ማብሰል,مابْسِل
679,الطعام,الغلي,መፍላት,مِفْلات
680,الطعام,التقطيع,መቁረጥ,مِقْوِرِط
681,الطعام,الخلط,መቀላቀል,مِقِلاقِل
682,الطعام,أنا أطبخ العشاء,እራት እያበስኩ ነው,إرات إيا بَسْكو نو
683,الطعام,هل يمكنني القلي؟,መጥበስ እችላለሁ?,مِطبَس إتشِلاليهو؟
684,الطعام,قَطِّع الخضروات,አትክልቶቹን ቆርጥ,أتْكِلْتوتشُن قورط
685,الطعام,كم تحتاج من الوقت للطهي؟,ለማብሰል ምን ያህል ጊዜ ይወስዳል?,لَما بْسِل مِن ياهِلْ غيزي يِوَسدال؟
686,الطعام,إنه ساخن جداً,በጣም ትኩስ ነው,بِتام تُكُس نو
687,الطعام,إنه بارد,ቀዝቃዛ ነው,قِزْقازا نو
688,الطعام,إنه حلو,ጣፋጭ ነው,طافاتش نو
689,الطعام,إنه حامض,ጎምዛዛ ነው,غومْزازا نو
690,الطعام,إنه مالح,ጨዋማ ነው,تشِواما نو
691,الطعام,إنه مُر,መራራ ነው,مِرارا نو
692,الطعام,إنه حار (متبل),ቅመም የበዛበት ነው,قِمِم يِبَزابِت نو
693,الطعام,لذيذ جداً,በጣም ይጣፍጣል,بِتام يِطافِطال
694,الطعام,أحب هذا الطعم,ይህን ጣዕም እወዳለሁ,يِهِن طاعِم إوِداليهو
695,الطعام,هل هذا طازج؟,ይሄ አዲስ ነው?,ييه أديس نو؟
696,الطعام,الطعام فاسد,ምግቡ ተበላሽቷል,مِغبو تِبِلاشْتْوال
697,الطعام,أريد أن أطلب,ማዘዝ እፈልጋለሁ,مازَز إفِليغاليهو
698,الطعام,أين القائمة؟,ሜኑው የት አለ?,مينُو يِت ألِ؟
699,الطعام,أريد أن أرى القائمة,ሜኑውን ማየት እፈልጋለሁ,مينُوُن مايِت إفِليغاليهو
700,الطعام,ماذا توصي؟,ምን ትመክራለህ?,مِن تِمِكِراليه؟
701,الطعام,أريد وجبة إنْجيرا,አንድ እንጀራ እፈልጋለሁ,أند إنْجِرا إفِليغاليهو
702,الطعام,أريد مرق الدجاج,የዶሮ ወጥ እፈልጋለሁ,يَ دورو وُط إفِليغاليهو
703,الطعام,أريد ماء من فضلك,ውሃ እፈልጋለሁ እባክህ,وها إفِليغاليهو إباكِه
704,الطعام,هل لديك عصير؟,ጭማቂ አለህ?,تشِماقي ألِيه؟
705,الطعام,أريد المزيد,ተጨማሪ እፈልጋለሁ,تِتْشِماري إفِليغاليهو
706,الطعام,أريد طبقاً صغيراً,ትንሽ ሰሃን እፈልጋለሁ,تِنِش سَهَان إفِليغاليهو
707,الطعام,هل هناك طعام نباتي؟,ቬጀቴሪያን ምግብ አለ?,ڤِجِتِريان مِغِب ألِ؟
708,الطعام,هل يمكنني الحصول على الفاتورة؟,ሂሳቡን ማግኘት እችላለሁ?,هيسابون ماغنيِت إتشِلاليهو؟
709,الطعام,هل تقبلون بطاقة ائتمان؟,ክሬዲት ካርድ ትቀበላላችሁ?,كريديت كارد تِقِبِلالاتشِهو؟
710,الطعام,هل يمكننا الجلوس هنا؟,እዚህ መቀመጥ እንችላለን?,إزيه مِقِمِط إنِتشِلالِن؟
711,الطعام,أطلب نفس الشيء,ተመሳሳይ ነገር እዘዛለሁ,تِسَماساي نِغِر إزِزاليهو
712,الطعام,الطبق الرئيسي,ዋናው ምግብ,واناو مِغب
713,الطعام,المقبلات,የምግብ ፍላጎት,يِمِغب فِلاغوت
714,الطعام,الحلويات,ጣፋጮች,طافاتشُوتش
715,الطعام,هل لديك طعام بدون جلوتين؟,ከግሉተን ነፃ የሆነ ምግብ አለህ?,كَغلُتِن نِتْسا هُونَه مِغب ألِيه؟
716,الطعام,أنا لدي حساسية من المكسرات,ለ ለውዝ አለርጂ አለብኝ,لَ لِوز ألِرْجي ألِبِني
717,الطعام,وجبة فطور شهية,መልካም የቁርስ ምግብ,مِلكام يَ قْوِرس مِغب
718,الطعام,وقت الغداء,የምሳ ሰዓት,يِمْسا سِعات
719,الطعام,وقت العشاء,የእራት ሰዓት,يِرات سِعات
720,الطعام,أين يمكنني شراء الخبز؟,ዳቦ መግዛት የምችለው የት ነው?,دابو مِغزات يِمِتشِلِو يِت نو؟
721,الطعام,السوق كبير,ገበያው ትልቅ ነው,غِبِياو تِلِق نو
722,الطعام,هل هذا المحل يبيع التوابل؟,ይህ ሱቅ ቅመሞችን ይሸጣል?,يِه سوُق قِمِموتشِن يِشِطال؟
723,الطعام,أحتاج شراء بعض الفاكهة,አንዳንድ ፍራፍሬዎችን መግዛት አለብኝ,أنداند فِرافِريوتشِن مِغزات ألِبِني
724,الطعام,أريد كيلو من الطماطم,አንድ ኪሎ ቲማቲም እፈልጋለሁ,أند كيلو تيما تيم إفِليغاليهو
725,الطعام,ما هو سعر الكيلو؟,የአንድ ኪሎ ዋጋ ስንት ነው?,يَ أند كيلو واغا سِنت نو؟
726,الطعام,هل يمكنني تذوقه؟,መቅመስ እችላለሁ?,مِقْمَس إتشِلاليهو؟
727,الطعام,هذا جيد,ይሄ ጥሩ ነው,ييه طِرو نو
728,الطعام,من أين أتيت بهذه الفاكهة؟,ይህን ፍሬ ከየት አመጣኸው?,يِهِن فِري كَيِت أمِطا خِو؟
729,الطعام,يجب أن نأكل المزيد,ተጨማሪ መብላት አለብን,تِتْشِماري مِبْلات ألِبِن
730,الطعام,أنا لا آكل اللحم,ስጋ አልበላም,سِغا ألِبِلام
731,الطعام,أنا نباتي,እኔ ቬጀቴሪያን ነኝ,إني ڤِجِتِريان نِني
732,الطعام,أنا آكل كل شيء,ሁሉንም እበላለሁ,هُلدُمِن إبِلاليهو
733,الطعام,هل يمكنني الحصول على بعض الماء الساخن؟,ትኩስ ውሃ ማግኘት እችላለሁ?,تُكُس وها ماغنيِت إتشِلاليهو؟
734,الطعام,إنه شهي,የምግብ ፍላጎት,يِمِغب فِلاغوت
735,الطعام,أطبخ كل يوم,በየቀኑ አበስላለሁ,بَيِقِنو أبَسِلاليهو
736,الطعام,هل لديك سكر قليل؟,ትንሽ ስኳር አለህ?,تِنِش سِكْوار ألِيه؟
737,الطعام,أريد أن أشرب عصيراً,ጭማቂ መጠጣት እፈልጋለሁ,تشِماقي مِطِطاط إفِليغاليهو
738,الطعام,طعام الإفطار جاهز,የቁርስ ምግብ ዝግጁ ነው,يَ قْوِرس مِغب زِغِجو نو
739,الطعام,المرق حار جداً,ወጡ በጣም ይሞቃል,وُطو بِتام يِموقال
740,الطعام,أحب شرب الشاي بعد الوجبة,ከምግብ በኋላ ሻይ መጠጣት እወዳለሁ,كَ مِغب بُهْلا شاي مِطِطاط إوِداليهو
741,الطعام,إنه طعام صحي,ጤናማ ምግብ ነው,طِيناما مِغب نو
742,الطعام,لا أحب الطعام المقلي,የተጠበሰ ምግብ አልወድም,يَتِطِبَس مِغب ألْوِدِم
743,الطعام,أفضل الطعام المطبوخ,የበሰለ ምግብ እመርጣለሁ,يِبَسَل مِغب إمِرِطاليهو
744,الطعام,هل يمكنني أن أطلب وجبة خارجية؟,ለ ውሰድ ማዘዝ እችላለሁ?,لَ وِسِد مازَز إتشِلاليهو؟
745,الطعام,أحتاج منديلاً,ናፕኪን ያስፈልገኛል,نابكين ياسيِفْلِغينْيال
746,الطعام,أين الحمام؟,መጸዳጃ ቤቱ የት አለ?,مِتْسِداجا بيتو يِت ألِ؟
747,الطعام,هل هذه الوجبة تكفي لشخصين؟,ይህ ምግብ ለሁለት ሰው ይበቃል?,هُليت (Hulet)
748,الطعام,الطعام الإثيوبي,የኢትዮጵያ ምግብ,يِ إيتْيوبْيا مِغب
749,الطعام,إنْجيرا (خبز إثيوبي),እንጀራ,إنْجِرا
750,الطعام,وُط (مرق إثيوبي),ወጥ,وُط
751,الطعام,مرق البقوليات,ሽሮ ወጥ,شِرو وُط
752,الطعام,مرق اللحم البقري الحار,ቀይ ወጥ,قِي وُط
753,الطعام,لحم نيء مفروم,ክትፎ,كِتْفو
754,الطعام,مرق الدجاج بالتوابل,ዶሮ ወጥ,دورو وُط
755,الطعام,تِبْس (لحم مقلي),ጥብስ,طِبْس
756,الطعام,مِسِر (عدس),ምስር,مِسِر
757,الطعام,هل تأكلون الإنْجيرا كل يوم؟,እንጀራን በየቀኑ ትበላላችሁ?,إنْجِران بَيِقِنو تِبِلالاتشِهو؟
758,الطعام,أحب طعم البِرْبِرِي,የበርበሬን ጣዕም እወዳለሁ,يَبِرْبِرين طاعِم إوِداليهو
759,الطعام,كم ثمن الإنْجيرا؟,እንጀራ ስንት ነው?,إنْجِرا سِنت نو؟
760,الطعام,هل لديك قهوة طازجة؟,ትኩስ ቡና አለህ?,تُكُس بونا ألِيه؟
761,الطعام,القهوة الإثيوبية ممتازة,የኢትዮጵያ ቡና በጣም ጥሩ ነው,يِ إيتْيوبْيا بونا بِتام طِرو نو
762,الطعام,دعني أدفع,ልክፈል,لِكْفِل
763,الطعام,هذه ضيافة,ይሄ ግብዣ ነው,ييه غِبْجا نو
764,الطعام,بالهناء والشفاء,ቸር ይሁን,"تشِر يِهون (يستخدم أيضاً بمعنى ""ليكن خيراً"")"
765,الطعام,أنا أتبع حمية غذائية,በአመጋገብ ላይ ነኝ,بَ أمِغَبِگ لاي نِني
766,الطعام,لا أستطيع أكل السكر,ስኳር መብላት አልችልም,سِكْوار مِبْلات ألْتشِلِم
767,الطعام,هل هذه الأطعمة محلية؟,እነዚህ ምግቦች የአካባቢ ናቸው?,إنِزِهِ مِغبوتش يَ أكابِي ناتشِهو؟
768,الطعام,أحتاج مياهاً معدنية,ሚኒራል ውሃ ያስፈልገኛል,مينِ رال وها ياسيِفْلِغينْيال
769,الطعام,هل يمكنك أن تحضر لي كوباً؟,አንድ ኩባያ ልታመጣልኝ ትችላለህ?,أند كوبايا لِتا مِطالِني تِتشِلاليه؟
770,الطعام,هل لديك ساندويتش؟,ሳንድዊች አለህ?,ساندويتش ألِيه؟
771,الطعام,أفضل الخبز التقليدي,ባህላዊ ዳቦ እመርጣለሁ,باهِلاوي دابو إمِرِطاليهو
772,الطعام,لا أريد بهارات,ቅመሞችን አልፈልግም,قِمِموتشِن ألْفِليغِم
773,الطعام,هل يمكنكم تحضير الطعام بسرعة؟,ምግቡን በፍጥነት ማዘጋጀት ትችላላችሁ?,مِغْبون بَفِطِنِت مازِغاجِت تِتشِلالاتشِهو؟
774,الطعام,أريد أن أتعلم الطبخ الإثيوبي,የኢትዮጵያን ምግብ ማብሰል መማር እፈልጋለሁ,يِ إيتْيوبْيان مِغب مابْسِل مِمار إفِليغاليهو
775,الطعام,هذا الطبق فريد من نوعه,ይሄ ምግብ ልዩ ነው,ييه مِغب لِيو نو
776,الطعام,أين الخبز الإضافي؟,ተጨማሪ ዳቦው የት አለ?,تِتْشِماري دابو يِت ألِ؟
777,الطعام,هل يمكنني الحصول على المزيد من المرق؟,ተጨማሪ ወጥ ማግኘት እችላለሁ?,تِتْشِماري وُط ماغنيِت إتشِلاليهو؟
778,الطعام,هل لديك أرز بالخضار؟,የአትክልት ሩዝ አለህ?,يَ أتْكِلت روز ألِيه؟
779,الطعام,أريد قطعة لحم صغيرة,ትንሽ የስጋ ቁራጭ እፈልጋለሁ,تِنِش يِسِغا قْوِراتش إفِليغاليهو
780,الطعام,أنا أحب الطعام الإثيوبي,የኢትዮጵያን ምግብ እወዳለሁ,يِ إيتْيوبْيان مِغب إوِداليهو
781,الشراب,أريد أن أشرب.,መጠጣት እፈልጋለሁ።,ميتيّطاط إفيليغاليهو.
782,الشراب,هل لديك ماء؟,ውሃ አለህ?,وها آليه؟
783,الشراب,أعطني ماء.,ውሃ ስጠኝ።,وها سطيّن.
784,الشراب,أنا عطشان جداً.,በጣም ተጠምቻለሁ።,بيتام تيتمتشاليهو.
785,الشراب,ماذا تشرب؟,ምን ትጠጣለህ?,من تيتيطليه؟
786,الشراب,سأشرب عصيراً.,ጭማቂ እጠጣለሁ።,تشيماقي إتيطلاليهو.
787,الشراب,هل تريد شيئاً لتشربه؟,የሚጠጣ ነገር ትፈልጋለህ?,ييمييطيطا نيغير تفيليغاليه؟
788,الشراب,اشرب هذا.,ይሄንን ጠጣ።,ييهينين تيّطا.
789,الشراب,هل هذا مجاني؟,ይሄ ነፃ ነው?,ييه نيصا نيّو؟
790,الشراب,كم ثمن هذا المشروب؟,ይሄ መጠጥ ስንት ነው?,ييه ميتيّط سينت نيّو؟
791,الشراب,هل يمكنني طلب مشروب آخر؟,ሌላ መጠጥ ማዘዝ እችላለሁ?,ليلا ميتيّط مازيّز إتشيلاليهو؟
792,الشراب,أحضر لي كوباً.,አንድ ብርጭቆ አምጣልኝ።,أند بيرتشيقو أمطالين.
793,الشراب,كوب فارغ.,ባዶ ብርጭቆ።,بادو بيرتشيقو.
794,الشراب,هل انتهيت من الشرب؟,መጠጣት ጨረስክ?,ميتيّطاط تشيريسك؟
795,الشراب,سأدفع ثمن مشروبي.,ለመጠጤ እከፍላለሁ።,ليمييتيّطي إكيفلاليهو.
796,الشراب,هل نشرب معاً؟,አብረን እንጠጣ?,أبرين إنتيّطا؟
797,الشراب,نحتاج المزيد من السوائل.,ብዙ ፈሳሽ ያስፈልገናል።,بيزو فيساش ياسي فيليغينا.
798,الشراب,هذا يكفي، شكراً.,ይሄ በቂ ነው፣ አመሰግናለሁ።,ييه بيقي نيّو، أميسغيناليهو.
799,الشراب,ما هو مشروبك المفضل؟,ተወዳጅ መጠጥህ ምንድን ነው?,تيوويداج ميتيّطيه ميندين نيّو؟
800,الشراب,لنأخذ استراحة للشرب.,ለመጠጣት እረፍት እንውሰድ።,ليمييتيّطاط إريفت إن ويسيد.
801,الشراب,قهوة,ቡና,بونا
802,الشراب,شاي,ሻይ,شاي
803,الشراب,عصير برتقال,የብርቱካን ጭማቂ,يي بيرتوكان تشيماقي
804,الشراب,عصير تفاح,የፖም ጭማቂ,يي بوم تشيماقي
805,الشراب,حليب,ወተት,ووتيت
806,الشراب,بيرة,ቢራ,بيرا
807,الشراب,نبيذ أحمر,ቀይ ወይን,قيّ وايين
808,الشراب,نبيذ أبيض,ነጭ ወይን,نيتش وايين
809,الشراب,مشروب غازي,ለስላሳ መጠጥ,ليسلاسا ميتيّط
810,الشراب,كوكا كولا,ኮካ ኮላ,كوكا كولا
811,الشراب,مياه معدنية,የማዕድን ውሃ,يي ماءدين وها
812,الشراب,مشروب طاقة,የኃይል መጠጥ,يي هائل ميتيّط
813,الشراب,مشروب ساخن,ሙቅ መጠጥ,موق ميتيّط
814,الشراب,مشروب بارد,ቀዝቃዛ መጠጥ,قيزقازا ميتيّط
815,الشراب,ليمونادة,ሎሚናዳ,لومينادا
816,الشراب,مشروب مخفوق (ميلك شيك),ሚልክ ሼክ,ميلك شيك
817,الشراب,تكيلا,ቴኪላ,تيكيلا
818,الشراب,ويسكي,ውስኪ,ويسكي
819,الشراب,كابتشينو,ካፑቺኖ,كابوتشينو
820,الشراب,لاتيه,ላቴ,لاتيه
